Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8
Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample)
01/29/2020 02:19:11 pm,25.00,42.000,01/29/2020 02:20:37 pm,25.00,47.000,01/29/2020 02:24:27 pm,25.00,51.000,01/29/2020 02:25:29 pm,25.00,36.000,01/29/2020 02:30:30 pm,50.00,89.000,01/29/2020 02:33:17 pm,50.00,91.000,01/29/2020 02:35:26 pm,50.00,95.000,01/29/2020 02:46:49 pm,125.00,321.000
01/29/2020 02:19:12 pm,26.00,54.000,01/29/2020 02:20:38 pm,26.00,48.000,01/29/2020 02:24:28 pm,26.00,45.000,01/29/2020 02:25:30 pm,26.00,40.000,01/29/2020 02:30:32 pm,52.00,96.000,01/29/2020 02:33:19 pm,52.00,80.000,01/29/2020 02:35:28 pm,52.00,77.000,01/29/2020 02:46:54 pm,130.00,312.000
01/29/2020 02:19:13 pm,27.00,57.000,01/29/2020 02:20:39 pm,27.00,43.000,01/29/2020 02:24:29 pm,27.00,47.000,01/29/2020 02:25:31 pm,27.00,43.000,01/29/2020 02:30:34 pm,54.00,97.000,01/29/2020 02:33:21 pm,54.00,80.000,01/29/2020 02:35:30 pm,54.00,85.000,01/29/2020 02:46:59 pm,135.00,308.000
01/29/2020 02:19:14 pm,28.00,36.000,01/29/2020 02:20:40 pm,28.00,44.000,01/29/2020 02:24:30 pm,28.00,59.000,01/29/2020 02:25:32 pm,28.00,60.000,01/29/2020 02:30:36 pm,56.00,87.000,01/29/2020 02:33:23 pm,56.00,89.000,01/29/2020 02:35:32 pm,56.00,80.000,01/29/2020 02:47:04 pm,140.00,326.000
01/29/2020 02:19:15 pm,29.00,62.000,01/29/2020 02:20:41 pm,29.00,40.000,01/29/2020 02:24:31 pm,29.00,50.000,01/29/2020 02:25:33 pm,29.00,40.000,01/29/2020 02:30:38 pm,58.00,95.000,01/29/2020 02:33:25 pm,58.00,82.000,01/29/2020 02:35:34 pm,58.00,84.000,01/29/2020 02:47:09 pm,145.00,310.000
01/29/2020 02:19:16 pm,30.00,33.000,01/29/2020 02:20:42 pm,30.00,42.000,01/29/2020 02:24:32 pm,30.00,41.000,01/29/2020 02:25:34 pm,30.00,40.000,01/29/2020 02:30:40 pm,60.00,90.000,01/29/2020 02:33:27 pm,60.00,80.000,01/29/2020 02:35:36 pm,60.00,86.000,01/29/2020 02:47:14 pm,150.00,312.000
01/29/2020 02:19:17 pm,31.00,49.000,01/29/2020 02:20:43 pm,31.00,46.000,01/29/2020 02:24:33 pm,31.00,41.000,01/29/2020 02:25:35 pm,31.00,42.000,01/29/2020 02:30:42 pm,62.00,92.000,01/29/2020 02:33:29 pm,62.00,107.000,01/29/2020 02:35:38 pm,62.00,72.000,01/29/2020 02:47:19 pm,155.00,365.000
01/29/2020 02:19:18 pm,32.00,46.000,01/29/2020 02:20:44 pm,32.00,42.000,01/29/2020 02:24:34 pm,32.00,48.000,01/29/2020 02:25:36 pm,32.00,44.000,01/29/2020 02:30:44 pm,64.00,97.000,01/29/2020 02:33:31 pm,64.00,82.000,01/29/2020 02:35:40 pm,64.00,71.000,01/29/2020 02:47:24 pm,160.00,279.000
01/29/2020 02:19:19 pm,33.00,46.000,01/29/2020 02:20:45 pm,33.00,62.000,01/29/2020 02:24:35 pm,33.00,45.000,01/29/2020 02:25:37 pm,33.00,35.000,01/29/2020 02:30:46 pm,66.00,79.000,01/29/2020 02:33:33 pm,66.00,93.000,01/29/2020 02:35:42 pm,66.00,79.000,01/29/2020 02:47:29 pm,165.00,322.000
01/29/2020 02:19:20 pm,34.00,53.000,01/29/2020 02:20:46 pm,34.00,41.000,01/29/2020 02:24:36 pm,34.00,41.000,01/29/2020 02:25:38 pm,34.00,47.000,01/29/2020 02:30:48 pm,68.00,86.000,01/29/2020 02:33:35 pm,68.00,87.000,01/29/2020 02:35:44 pm,68.00,76.000,01/29/2020 02:47:34 pm,170.00,303.000
01/29/2020 02:19:21 pm,35.00,38.000,01/29/2020 02:20:47 pm,35.00,48.000,01/29/2020 02:24:37 pm,35.00,48.000,01/29/2020 02:25:39 pm,35.00,34.000,01/29/2020 02:30:50 pm,70.00,75.000,01/29/2020 02:33:37 pm,70.00,91.000,01/29/2020 02:35:46 pm,70.00,101.000,01/29/2020 02:47:39 pm,175.00,303.000
